bill_id,bill_type,full_name,frequency,num_transcripts,variants
HM 29,HM,House Memorial,7,7,"HM 29; House Memorial
29; House Memorial 29"
HB 293,HB,House Bill,7,7,"HB
293; House Bill
293; House Bill 293; house Bill
293; house Bill 293"
HB 258,HB,House Bill,7,7,"HB 258; House Bill
258; House Bill 258; house Bill
258"
HB 304,HB,House Bill,7,7,"HB
304; HB 304; House Bill 304; house Bill 304"
HB 180,HB,House Bill,7,7,"HB
180; HB 180; House Bill
180; House Bill 180; house Bill
180"
SB 443,SB,Senate Bill,7,7,SB 443; Senate Bill 443
SB 77,SB,Senate Bill,7,7,"SB 77; Senate Bill
77; Senate Bill 77"
HB 618,HB,House Bill,7,7,"House Bill
618; House Bill 618"
HB 554,HB,House Bill,7,7,House Bill 554; house bill 554
HB 153,HB,House Bill,7,7,"HB
153; HB 153; House Bill
153; House Bill 153; house Bill 153"
HB 411,HB,House Bill,7,7,"House Bill
411; House Bill 411"
HB 103,HB,House Bill,7,7,"HB 103; House Bill
103; House Bill 103; house Bill 103"
HB 259,HB,House Bill,7,7,"HB
259; HB 259; House Bill
259; House Bill 259"
HB 51,HB,House Bill,7,7,"HB
51; HB 51; House Bill
51; House Bill 51"
HM 31,HM,House Memorial,7,7,"House Memorial
31; House Memorial 31; house Memorial 31; house memorial 31"
HB 438,HB,House Bill,7,7,"House Bill
438; House Bill 438; House bill
438; house bill 438"
HB 372,HB,House Bill,7,7,"HB 372; House Bill
372; House Bill 372; house Bill
372"
HB 371,HB,House Bill,7,7,"HB
371; HB 371; House Bill
371; House Bill 371"
SB 63,SB,Senate Bill,7,7,"Senate Bill
63; Senate Bill 63; Senate bill 63"
HM 57,HM,House Memorial,7,7,"House Memorial
57; House Memorial 57; House memorial
57; house Memorial 57"
HB 190,HB,House Bill,7,7,"HB 190; House Bill
190; House Bill 190; house Bill 190"
SB 450,SB,Senate Bill,6,6,"SB 450; Senate Bill
450; Senate Bill 450"
HB 90,HB,House Bill,6,6,"HB
90; HB 90; House Bill 90; house Bill
90"
HB 139,HB,House Bill,6,6,HB 139; House Bill 139; house Bill 139
SB 106,SB,Senate Bill,6,6,"Senate Bill
106; Senate Bill 106"
HB 276,HB,House Bill,6,6,"House Bill
276; House Bill 276; house bill 276"
SB 180,SB,Senate Bill,6,6,"SB 180; Senate Bill
180; Senate Bill 180"
HB 311,HB,House Bill,6,6,"HB
311; HB 311; House Bill
311; House Bill 311"
HB 88,HB,House Bill,6,6,"House Bill
88; House Bill 88; house Bill
88; house Bill 88"
HB 333,HB,House Bill,6,6,"HB
333; HB 333; House Bill
333; House Bill 333; house Bill
333"
HB 138,HB,House Bill,6,6,"HB 138; House Bill
138; House Bill 138; house bill 138"
SB 165,SB,Senate Bill,6,6,"Senate Bill
165; Senate Bill 165; Senate bill
165; Senate bill 165"
SB 160,SB,Senate Bill,6,6,"SB 160; Senate Bill
160; Senate Bill 160"
HM 59,HM,House Memorial,6,6,House Memorial 59; house memorial 59
HB 469,HB,House Bill,6,6,"HB 469; House Bill
469; House Bill 469"
HB 37,HB,House Bill,6,6,HB 37; House Bill 37
HB 179,HB,House Bill,6,6,"HB 179; House Bill
179; House Bill 179; house Bill
179"
SB 29,SB,Senate Bill,6,6,"SB
29; SB 29; Senate Bill
29; Senate Bill 29; Senate bill 29"
HB 185,HB,House Bill,6,6,"HB
185; HB 185; House Bill
185; House Bill 185; house Bill 185"
SB 281,SB,Senate Bill,6,6,"SB 281; Senate Bill
281; Senate Bill 281"
HB 247,HB,House Bill,6,6,"HB
247; HB 247; House Bill
247; House Bill 247; house Bill 247"
SB 51,SB,Senate Bill,6,6,"Senate Bill
51; Senate Bill 51"
SB 218,SB,Senate Bill,6,6,"SB
218; SB 218; Senate Bill
218; Senate Bill 218"
SB 107,SB,Senate Bill,6,6,"SB 107; Senate Bill
107; Senate Bill 107"
HB 375,HB,House Bill,6,6,"HB
375; House Bill
375; House Bill 375; house Bill 375"
HM 32,HM,House Memorial,6,6,"House Memorial
32; House Memorial 32; house memorial
32"
SJR 6,SJR,Senate Joint Resolution,6,6,"SJR 6; SJR6; Senate Joint Resolution
6; Senate Joint Resolution 6; Senate joint resolution 6"
SM 19,SM,Senate Memorial,6,6,"Senate Memorial
19; Senate Memorial 19"
SB 246,SB,Senate Bill,6,6,"SB 246; Senate Bill
246; Senate Bill 246"
SJR 1,SJR,Senate Joint Resolution,6,6,SJR1; Senate Joint Resolution 1
